Bencana Menurut Wilayah ACEH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Bencana Menurut Wilayah Nusa Tenggara Barat,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
3,2018,0,66,0,75,20,11,0,33,0,,,3,2018,0,7,0,75.01,20,11,0,33,0
4,2019,1,64,3,288,0,8,5,37,123,,,4,2019,1,10,3,288,0,8,5,37,123
5,2020,1,251,8,359,395,89,16,64,150,,,5,2020,1,9,8,359,395,89,16,64,150
JUMLAH,,12,451,20,775.604,426.579,392,166,340,281.26,,,JUMLAH,,6,37,16,744.65,420,112,21,134,273
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Bali,,,,,,,,,,,,,,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,,,,,,,,,,,
1,2016,0,19,6,945,490,61,2,134,736,,,,,,,,,,,,,
2,2017,0,28,0,20.678,198,3,24,11,3.023,,,,,,,,,,,,,
3,2018,1,141,2,1.123,0,8,12,1.401,248,,,,,,,,,,,,,
4,2019,0,55,0,156.391,19.712,85,64,45,33.098,,,,,,,,,,,,,
5,2020,1,96,0,114.018,26.823,110,99,421,45.405,,,,,,,,,,,,,
JUMLAH,,2,339,8,1237.21,734.535,267,201,612.4010000000001,1065.526,,,,,,,,,,,,,
